# Decryption Dispatch Table
# Total sparse-switch tables: 72
# Total unique hash keys: 288

# Format: hash_key -> table_idx, key_idx, handler_offset
  -613275953 (0x-248dd931) -> table[6].key[1] -> +4
  -585948041 (0x-22ecdb89) -> table[15].key[2] -> +4
  -533642390 (0x-1fcebc96) -> table[62].key[2] -> +40
  -531390280 (0x-1fac5f48) -> table[22].key[1] -> +79
  -525679756 (0x-1f553c8c) -> table[53].key[1] -> +12
  -497344068 (0x-1da4de44) -> table[46].key[0] -> +19
  -490904317 (0x-1d429afd) -> table[18].key[0] -> +72
  -469642953 (0x-1bfe2ec9) -> table[54].key[1] -> +59
  -463319947 (0x-1b9db38b) -> table[34].key[0] -> +39
  -440653417 (0x-1a43d669) -> table[24].key[1] -> +4
  -435556515 (0x-19f610a3) -> table[2].key[2] -> +10
  -420426385 (0x-190f3291) -> table[3].key[1] -> +74
  -418589183 (0x-18f329ff) -> table[65].key[1] -> +-13
  -389779001 (0x-173b8e39) -> table[27].key[1] -> +427
  -386970841 (0x-1710b4d9) -> table[62].key[3] -> +10
  -365797725 (0x-15cda15d) -> table[69].key[0] -> +17
  -365059603 (0x-15c25e13) -> table[9].key[1] -> +20
  -328893895 (0x-139a85c7) -> table[71].key[0] -> +4
  -319882628 (0x-13110584) -> table[63].key[1] -> +4
  -269255120 (0x-100c81d0) -> table[17].key[1] -> +20
  -260614651 (0x-f88a9fb) -> table[68].key[0] -> +-13
  -243985797 (0x-e8aed85) -> table[31].key[1] -> +109
  -238283303 (0x-e33ea27) -> table[64].key[0] -> +75
  -235336232 (0x-e06f228) -> table[64].key[1] -> +10
  -232517654 (0x-ddbf016) -> table[50].key[2] -> +10
  -217517416 (0x-cf70d68) -> table[36].key[0] -> +12
  -207108828 (0x-c583adc) -> table[70].key[1] -> +-14
  -205236115 (0x-c3ba793) -> table[46].key[1] -> +7
  -154497288 (0x-9357108) -> table[39].key[3] -> +4
  -147875789 (0x-8d067cd) -> table[41].key[2] -> +18
