# Functions accessing title (0xad90) but NOT short_v2 body (0xad88)
# These are STRONG candidates for LONG version dialog builder
# Format: func_addr  title_pcs  body_candidates

0x00bca62c  title=['0xbca830']  body=['0x21830', '0x21838', '0x27610']
0x00bd718c  title=['0xbd7584']  body=['0x21c68', '0x2c5f8']
0x00bda348  title=['0xbda454', '0xbda5fc']  body=['0xb9d0', '0xf280', '0xf288', '0x24998', '0x45e88']
0x00be68c4  title=['0xbe6bd0']  body=[]
0x00bebf14  title=['0xbec344']  body=['0x3f5e8']
0x00bef790  title=['0xbef810']  body=['0x3fb20']
0x00c1eff0  title=['0xc1f0d0']  body=['0xb558', '0x12af0', '0x12af8', '0x12b00', '0x2ec20']
0x00c522f0  title=['0xc525a8']  body=['0x26f70', '0x27de0', '0x27de8', '0x27df0', '0x27df8', '0x27e00', '0x27e08', '0x27e10']
0x00cd2c54  title=['0xcd2e58']  body=['0x58188', '0x58190']
0x00cd501c  title=['0xcd548c', '0xcd55b4']  body=['0xae98', '0xb558', '0xd810', '0xeda0', '0x12af0', '0x12af8', '0x12b00', '0x582f8', '0x58300', '0x58310']
0x00cf2fcc  title=['0xcf337c']  body=['0xb558', '0xf288', '0x12a30', '0x12af0', '0x12af8', '0x12b00', '0x631e8']

# Total: 64 candidates
